split,image,label,source_dataset,source_split,source_image,source_label,box_count,has_objects
train,data/yolo/ad_surface_v3_finetune/images/train/017.png,data/yolo/ad_surface_v3_finetune/labels/train/017.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/017.png,data/yolo/ad_surface_v2/labels/train/017.txt,4,1
train,data/yolo/ad_surface_v3_finetune/images/train/018.png,data/yolo/ad_surface_v3_finetune/labels/train/018.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/018.png,data/yolo/ad_surface_v2/labels/train/018.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/020.png,data/yolo/ad_surface_v3_finetune/labels/train/020.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/020.png,data/yolo/ad_surface_v2/labels/train/020.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/021.png,data/yolo/ad_surface_v3_finetune/labels/train/021.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/021.png,data/yolo/ad_surface_v2/labels/train/021.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/022.png,data/yolo/ad_surface_v3_finetune/labels/train/022.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/022.png,data/yolo/ad_surface_v2/labels/train/022.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/023.png,data/yolo/ad_surface_v3_finetune/labels/train/023.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/023.png,data/yolo/ad_surface_v2/labels/train/023.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/024.png,data/yolo/ad_surface_v3_finetune/labels/train/024.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/024.png,data/yolo/ad_surface_v2/labels/train/024.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/027.png,data/yolo/ad_surface_v3_finetune/labels/train/027.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/027.png,data/yolo/ad_surface_v2/labels/train/027.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/028.png,data/yolo/ad_surface_v3_finetune/labels/train/028.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/028.png,data/yolo/ad_surface_v2/labels/train/028.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/029.png,data/yolo/ad_surface_v3_finetune/labels/train/029.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/029.png,data/yolo/ad_surface_v2/labels/train/029.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/030.png,data/yolo/ad_surface_v3_finetune/labels/train/030.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/030.png,data/yolo/ad_surface_v2/labels/train/030.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/032.png,data/yolo/ad_surface_v3_finetune/labels/train/032.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/032.png,data/yolo/ad_surface_v2/labels/train/032.txt,4,1
train,data/yolo/ad_surface_v3_finetune/images/train/033.png,data/yolo/ad_surface_v3_finetune/labels/train/033.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/033.png,data/yolo/ad_surface_v2/labels/train/033.txt,8,1
train,data/yolo/ad_surface_v3_finetune/images/train/034.png,data/yolo/ad_surface_v3_finetune/labels/train/034.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/034.png,data/yolo/ad_surface_v2/labels/train/034.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/035.png,data/yolo/ad_surface_v3_finetune/labels/train/035.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/035.png,data/yolo/ad_surface_v2/labels/train/035.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/036.png,data/yolo/ad_surface_v3_finetune/labels/train/036.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/036.png,data/yolo/ad_surface_v2/labels/train/036.txt,5,1
train,data/yolo/ad_surface_v3_finetune/images/train/037.png,data/yolo/ad_surface_v3_finetune/labels/train/037.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/037.png,data/yolo/ad_surface_v2/labels/train/037.txt,10,1
train,data/yolo/ad_surface_v3_finetune/images/train/038.png,data/yolo/ad_surface_v3_finetune/labels/train/038.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/038.png,data/yolo/ad_surface_v2/labels/train/038.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/040.png,data/yolo/ad_surface_v3_finetune/labels/train/040.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/040.png,data/yolo/ad_surface_v2/labels/train/040.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/041.png,data/yolo/ad_surface_v3_finetune/labels/train/041.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/041.png,data/yolo/ad_surface_v2/labels/train/041.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/043.png,data/yolo/ad_surface_v3_finetune/labels/train/043.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/043.png,data/yolo/ad_surface_v2/labels/train/043.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/045.png,data/yolo/ad_surface_v3_finetune/labels/train/045.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/045.png,data/yolo/ad_surface_v2/labels/train/045.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/046.png,data/yolo/ad_surface_v3_finetune/labels/train/046.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/046.png,data/yolo/ad_surface_v2/labels/train/046.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/047.png,data/yolo/ad_surface_v3_finetune/labels/train/047.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/047.png,data/yolo/ad_surface_v2/labels/train/047.txt,4,1
train,data/yolo/ad_surface_v3_finetune/images/train/048.png,data/yolo/ad_surface_v3_finetune/labels/train/048.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/048.png,data/yolo/ad_surface_v2/labels/train/048.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/049.png,data/yolo/ad_surface_v3_finetune/labels/train/049.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/049.png,data/yolo/ad_surface_v2/labels/train/049.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/050.png,data/yolo/ad_surface_v3_finetune/labels/train/050.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/050.png,data/yolo/ad_surface_v2/labels/train/050.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/053.png,data/yolo/ad_surface_v3_finetune/labels/train/053.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/053.png,data/yolo/ad_surface_v2/labels/train/053.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/055.png,data/yolo/ad_surface_v3_finetune/labels/train/055.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/055.png,data/yolo/ad_surface_v2/labels/train/055.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/056.png,data/yolo/ad_surface_v3_finetune/labels/train/056.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/056.png,data/yolo/ad_surface_v2/labels/train/056.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/057.png,data/yolo/ad_surface_v3_finetune/labels/train/057.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/057.png,data/yolo/ad_surface_v2/labels/train/057.txt,5,1
train,data/yolo/ad_surface_v3_finetune/images/train/059.png,data/yolo/ad_surface_v3_finetune/labels/train/059.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/059.png,data/yolo/ad_surface_v2/labels/train/059.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/060.png,data/yolo/ad_surface_v3_finetune/labels/train/060.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/060.png,data/yolo/ad_surface_v2/labels/train/060.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/061.png,data/yolo/ad_surface_v3_finetune/labels/train/061.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/061.png,data/yolo/ad_surface_v2/labels/train/061.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/063.png,data/yolo/ad_surface_v3_finetune/labels/train/063.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/063.png,data/yolo/ad_surface_v2/labels/train/063.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/065.png,data/yolo/ad_surface_v3_finetune/labels/train/065.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/065.png,data/yolo/ad_surface_v2/labels/train/065.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/066.png,data/yolo/ad_surface_v3_finetune/labels/train/066.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/066.png,data/yolo/ad_surface_v2/labels/train/066.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/067.png,data/yolo/ad_surface_v3_finetune/labels/train/067.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/067.png,data/yolo/ad_surface_v2/labels/train/067.txt,8,1
train,data/yolo/ad_surface_v3_finetune/images/train/068.png,data/yolo/ad_surface_v3_finetune/labels/train/068.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/068.png,data/yolo/ad_surface_v2/labels/train/068.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/069.png,data/yolo/ad_surface_v3_finetune/labels/train/069.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/069.png,data/yolo/ad_surface_v2/labels/train/069.txt,8,1
train,data/yolo/ad_surface_v3_finetune/images/train/070.png,data/yolo/ad_surface_v3_finetune/labels/train/070.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/070.png,data/yolo/ad_surface_v2/labels/train/070.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/071.png,data/yolo/ad_surface_v3_finetune/labels/train/071.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/071.png,data/yolo/ad_surface_v2/labels/train/071.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/073.png,data/yolo/ad_surface_v3_finetune/labels/train/073.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/073.png,data/yolo/ad_surface_v2/labels/train/073.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/074.png,data/yolo/ad_surface_v3_finetune/labels/train/074.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/074.png,data/yolo/ad_surface_v2/labels/train/074.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/075.png,data/yolo/ad_surface_v3_finetune/labels/train/075.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/075.png,data/yolo/ad_surface_v2/labels/train/075.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/076.png,data/yolo/ad_surface_v3_finetune/labels/train/076.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/076.png,data/yolo/ad_surface_v2/labels/train/076.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/077.png,data/yolo/ad_surface_v3_finetune/labels/train/077.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/077.png,data/yolo/ad_surface_v2/labels/train/077.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/078.png,data/yolo/ad_surface_v3_finetune/labels/train/078.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/078.png,data/yolo/ad_surface_v2/labels/train/078.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/079.png,data/yolo/ad_surface_v3_finetune/labels/train/079.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/079.png,data/yolo/ad_surface_v2/labels/train/079.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/080.png,data/yolo/ad_surface_v3_finetune/labels/train/080.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/080.png,data/yolo/ad_surface_v2/labels/train/080.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/081.png,data/yolo/ad_surface_v3_finetune/labels/train/081.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/081.png,data/yolo/ad_surface_v2/labels/train/081.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/082.png,data/yolo/ad_surface_v3_finetune/labels/train/082.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/082.png,data/yolo/ad_surface_v2/labels/train/082.txt,4,1
train,data/yolo/ad_surface_v3_finetune/images/train/083.png,data/yolo/ad_surface_v3_finetune/labels/train/083.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/083.png,data/yolo/ad_surface_v2/labels/train/083.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/084.png,data/yolo/ad_surface_v3_finetune/labels/train/084.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/084.png,data/yolo/ad_surface_v2/labels/train/084.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/085.png,data/yolo/ad_surface_v3_finetune/labels/train/085.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/085.png,data/yolo/ad_surface_v2/labels/train/085.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/086.png,data/yolo/ad_surface_v3_finetune/labels/train/086.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/086.png,data/yolo/ad_surface_v2/labels/train/086.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/087.png,data/yolo/ad_surface_v3_finetune/labels/train/087.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/087.png,data/yolo/ad_surface_v2/labels/train/087.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/088.png,data/yolo/ad_surface_v3_finetune/labels/train/088.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/088.png,data/yolo/ad_surface_v2/labels/train/088.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/090.png,data/yolo/ad_surface_v3_finetune/labels/train/090.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/090.png,data/yolo/ad_surface_v2/labels/train/090.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/091.png,data/yolo/ad_surface_v3_finetune/labels/train/091.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/091.png,data/yolo/ad_surface_v2/labels/train/091.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/092.png,data/yolo/ad_surface_v3_finetune/labels/train/092.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/092.png,data/yolo/ad_surface_v2/labels/train/092.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/093.png,data/yolo/ad_surface_v3_finetune/labels/train/093.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/093.png,data/yolo/ad_surface_v2/labels/train/093.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/094.png,data/yolo/ad_surface_v3_finetune/labels/train/094.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/094.png,data/yolo/ad_surface_v2/labels/train/094.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/095.png,data/yolo/ad_surface_v3_finetune/labels/train/095.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/095.png,data/yolo/ad_surface_v2/labels/train/095.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/096.png,data/yolo/ad_surface_v3_finetune/labels/train/096.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/096.png,data/yolo/ad_surface_v2/labels/train/096.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/097.png,data/yolo/ad_surface_v3_finetune/labels/train/097.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/097.png,data/yolo/ad_surface_v2/labels/train/097.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/098.png,data/yolo/ad_surface_v3_finetune/labels/train/098.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/098.png,data/yolo/ad_surface_v2/labels/train/098.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/100.png,data/yolo/ad_surface_v3_finetune/labels/train/100.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/100.png,data/yolo/ad_surface_v2/labels/train/100.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/101.png,data/yolo/ad_surface_v3_finetune/labels/train/101.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/101.png,data/yolo/ad_surface_v2/labels/train/101.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/102.png,data/yolo/ad_surface_v3_finetune/labels/train/102.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/102.png,data/yolo/ad_surface_v2/labels/train/102.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/103.png,data/yolo/ad_surface_v3_finetune/labels/train/103.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/103.png,data/yolo/ad_surface_v2/labels/train/103.txt,4,1
train,data/yolo/ad_surface_v3_finetune/images/train/104.png,data/yolo/ad_surface_v3_finetune/labels/train/104.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/104.png,data/yolo/ad_surface_v2/labels/train/104.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/105.png,data/yolo/ad_surface_v3_finetune/labels/train/105.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/105.png,data/yolo/ad_surface_v2/labels/train/105.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/106.png,data/yolo/ad_surface_v3_finetune/labels/train/106.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/106.png,data/yolo/ad_surface_v2/labels/train/106.txt,4,1
train,data/yolo/ad_surface_v3_finetune/images/train/107.png,data/yolo/ad_surface_v3_finetune/labels/train/107.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/107.png,data/yolo/ad_surface_v2/labels/train/107.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/108.png,data/yolo/ad_surface_v3_finetune/labels/train/108.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/108.png,data/yolo/ad_surface_v2/labels/train/108.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/109.png,data/yolo/ad_surface_v3_finetune/labels/train/109.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/109.png,data/yolo/ad_surface_v2/labels/train/109.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/110.png,data/yolo/ad_surface_v3_finetune/labels/train/110.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/110.png,data/yolo/ad_surface_v2/labels/train/110.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/111.png,data/yolo/ad_surface_v3_finetune/labels/train/111.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/111.png,data/yolo/ad_surface_v2/labels/train/111.txt,6,1
train,data/yolo/ad_surface_v3_finetune/images/train/114.png,data/yolo/ad_surface_v3_finetune/labels/train/114.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/114.png,data/yolo/ad_surface_v2/labels/train/114.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/115.png,data/yolo/ad_surface_v3_finetune/labels/train/115.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/115.png,data/yolo/ad_surface_v2/labels/train/115.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/116.png,data/yolo/ad_surface_v3_finetune/labels/train/116.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/116.png,data/yolo/ad_surface_v2/labels/train/116.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/117.png,data/yolo/ad_surface_v3_finetune/labels/train/117.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/117.png,data/yolo/ad_surface_v2/labels/train/117.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/118.png,data/yolo/ad_surface_v3_finetune/labels/train/118.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/118.png,data/yolo/ad_surface_v2/labels/train/118.txt,5,1
train,data/yolo/ad_surface_v3_finetune/images/train/119.png,data/yolo/ad_surface_v3_finetune/labels/train/119.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/119.png,data/yolo/ad_surface_v2/labels/train/119.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/120.png,data/yolo/ad_surface_v3_finetune/labels/train/120.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/120.png,data/yolo/ad_surface_v2/labels/train/120.txt,4,1
train,data/yolo/ad_surface_v3_finetune/images/train/121.png,data/yolo/ad_surface_v3_finetune/labels/train/121.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/121.png,data/yolo/ad_surface_v2/labels/train/121.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/122.png,data/yolo/ad_surface_v3_finetune/labels/train/122.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/122.png,data/yolo/ad_surface_v2/labels/train/122.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/123.png,data/yolo/ad_surface_v3_finetune/labels/train/123.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/123.png,data/yolo/ad_surface_v2/labels/train/123.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/124.png,data/yolo/ad_surface_v3_finetune/labels/train/124.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/124.png,data/yolo/ad_surface_v2/labels/train/124.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/125.png,data/yolo/ad_surface_v3_finetune/labels/train/125.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/125.png,data/yolo/ad_surface_v2/labels/train/125.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/126.png,data/yolo/ad_surface_v3_finetune/labels/train/126.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/126.png,data/yolo/ad_surface_v2/labels/train/126.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/127.png,data/yolo/ad_surface_v3_finetune/labels/train/127.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/127.png,data/yolo/ad_surface_v2/labels/train/127.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/128.png,data/yolo/ad_surface_v3_finetune/labels/train/128.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/128.png,data/yolo/ad_surface_v2/labels/train/128.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/130.png,data/yolo/ad_surface_v3_finetune/labels/train/130.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/130.png,data/yolo/ad_surface_v2/labels/train/130.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/131.png,data/yolo/ad_surface_v3_finetune/labels/train/131.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/131.png,data/yolo/ad_surface_v2/labels/train/131.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/132.png,data/yolo/ad_surface_v3_finetune/labels/train/132.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/132.png,data/yolo/ad_surface_v2/labels/train/132.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/133.png,data/yolo/ad_surface_v3_finetune/labels/train/133.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/133.png,data/yolo/ad_surface_v2/labels/train/133.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/135.png,data/yolo/ad_surface_v3_finetune/labels/train/135.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/135.png,data/yolo/ad_surface_v2/labels/train/135.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/136.png,data/yolo/ad_surface_v3_finetune/labels/train/136.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/136.png,data/yolo/ad_surface_v2/labels/train/136.txt,3,1
train,data/yolo/ad_surface_v3_finetune/images/train/139.png,data/yolo/ad_surface_v3_finetune/labels/train/139.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/139.png,data/yolo/ad_surface_v2/labels/train/139.txt,2,1
train,data/yolo/ad_surface_v3_finetune/images/train/140.png,data/yolo/ad_surface_v3_finetune/labels/train/140.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/140.png,data/yolo/ad_surface_v2/labels/train/140.txt,1,1
train,data/yolo/ad_surface_v3_finetune/images/train/141.png,data/yolo/ad_surface_v3_finetune/labels/train/141.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/141.png,data/yolo/ad_surface_v2/labels/train/141.txt,0,0
train,data/yolo/ad_surface_v3_finetune/images/train/143.png,data/yolo/ad_surface_v3_finetune/labels/train/143.txt,ad_surface_v2,train,data/yolo/ad_surface_v2/images/train/143.png,data/yolo/ad_surface_v2/labels/train/143.txt,0,0
